Level,Dataset,Metric,Value
2,Diptera,Precision,1
2,Diptera,Recall,1
2,Diptera,F.Measure,1
3,Diptera,Precision,0.999799993783591
3,Diptera,Recall,0.999497433805142
3,Diptera,F.Measure,0.999648690900689
4,Diptera,Precision,0.997904858492752
4,Diptera,Recall,0.989008390964076
4,Diptera,F.Measure,0.993436707619675
5,Diptera,Precision,0.994867285224601
5,Diptera,Recall,0.973593659019645
5,Diptera,F.Measure,0.984115517549813
6,Diptera,Precision,0.940696296492086
6,Diptera,Recall,0.865463570030303
6,Diptera,F.Measure,0.901513083273056
7,Diptera,Precision,0.835814817526264
7,Diptera,Recall,0.740348905229796
7,Diptera,F.Measure,0.785190746616595
2,Lepidoptera,Precision,1
2,Lepidoptera,Recall,1
2,Lepidoptera,F.Measure,1
3,Lepidoptera,Precision,0.999991412377626
3,Lepidoptera,Recall,0.999974237575355
3,Lepidoptera,F.Measure,0.999982824902746
4,Lepidoptera,Precision,0.999561316737917
4,Lepidoptera,Recall,0.99791610609539
4,Lepidoptera,F.Measure,0.998738033882573
5,Lepidoptera,Precision,0.995586438888446
5,Lepidoptera,Recall,0.928523584068517
5,Lepidoptera,F.Measure,0.960886308430594
6,Lepidoptera,Precision,0.971946090009979
6,Lepidoptera,Recall,0.881052022922833
6,Lepidoptera,F.Measure,0.924269768866494
7,Lepidoptera,Precision,0.871045341398785
7,Lepidoptera,Recall,0.745235382686506
7,Lepidoptera,F.Measure,0.803243890323556
2,Hymenoptera,Precision,1
2,Hymenoptera,Recall,1
2,Hymenoptera,F.Measure,1
3,Hymenoptera,Precision,0.999932472154694
3,Hymenoptera,Recall,0.999793472950914
3,Hymenoptera,F.Measure,0.999862967721948
4,Hymenoptera,Precision,0.999253644966494
4,Hymenoptera,Recall,0.994364194564367
4,Hymenoptera,F.Measure,0.996802923950997
5,Hymenoptera,Precision,0.99574641294393
5,Hymenoptera,Recall,0.971590615728623
5,Hymenoptera,F.Measure,0.98352021678212
6,Hymenoptera,Precision,0.875368844396844
6,Hymenoptera,Recall,0.795307864311729
6,Hymenoptera,F.Measure,0.833420041703258
7,Hymenoptera,Precision,0.766799937459516
7,Hymenoptera,Recall,0.681745789032619
7,Hymenoptera,F.Measure,0.721775804288135
2,Coleoptera,Precision,1
2,Coleoptera,Recall,1
2,Coleoptera,F.Measure,1
3,Coleoptera,Precision,0.999850650913104
3,Coleoptera,Recall,0.999659880875351
3,Coleoptera,F.Measure,0.999755256793698
4,Coleoptera,Precision,0.996915618339115
4,Coleoptera,Recall,0.98938164684021
4,Coleoptera,F.Measure,0.993134344515178
5,Coleoptera,Precision,0.988579517821163
5,Coleoptera,Recall,0.944278532676323
5,Coleoptera,F.Measure,0.965921337349909
6,Coleoptera,Precision,0.951634828647063
6,Coleoptera,Recall,0.882716971114761
6,Coleoptera,F.Measure,0.915881254249834
7,Coleoptera,Precision,0.866420537322077
7,Coleoptera,Recall,0.794294294294294
7,Coleoptera,F.Measure,0.828791164085053
2,Hemiptera,Precision,1
2,Hemiptera,Recall,1
2,Hemiptera,F.Measure,1
3,Hemiptera,Precision,0.999919765256063
3,Hemiptera,Recall,0.999507332722273
3,Hemiptera,F.Measure,0.999713506451835
4,Hemiptera,Precision,0.9971140472879
4,Hemiptera,Recall,0.985689734188818
4,Hemiptera,F.Measure,0.991368979027426
5,Hemiptera,Precision,0.991618160651921
5,Hemiptera,Recall,0.975939505041247
5,Hemiptera,F.Measure,0.983716364476268
6,Hemiptera,Precision,0.933808358524063
6,Hemiptera,Recall,0.891911090742438
6,Hemiptera,F.Measure,0.912378987834322
7,Hemiptera,Precision,0.831794845532411
7,Hemiptera,Recall,0.744374427131072
7,Hemiptera,F.Measure,0.785660299781724
2,Araneae,Precision,1
2,Araneae,Recall,1
2,Araneae,F.Measure,1
3,Araneae,Precision,0.99856497780499
3,Araneae,Recall,0.997038820113098
3,Araneae,F.Measure,0.997801315386968
4,Araneae,Precision,0.998545036852685
4,Araneae,Recall,0.996465688522085
4,Araneae,F.Measure,0.997504279061762
5,Araneae,Precision,0.988125
5,Araneae,Recall,0.966529115084823
5,Araneae,F.Measure,0.977207757088774
6,Araneae,Precision,0.977602737001233
6,Araneae,Recall,0.938942381170717
6,Araneae,F.Measure,0.957882632676528
7,Araneae,Precision,0.924140160853575
7,Araneae,Recall,0.873681797340669
7,Araneae,F.Measure,0.898202887164883
2,Entomobryomorpha,Precision,1
2,Entomobryomorpha,Recall,1
2,Entomobryomorpha,F.Measure,1
3,Entomobryomorpha,Precision,0.998761679612743
3,Entomobryomorpha,Recall,0.997526422307173
3,Entomobryomorpha,F.Measure,0.998143668785509
4,Entomobryomorpha,Precision,0.997593804045417
4,Entomobryomorpha,Recall,0.994453189416086
4,Entomobryomorpha,F.Measure,0.996021021021021
5,Entomobryomorpha,Precision,0.993845095190764
5,Entomobryomorpha,Recall,0.974327261824451
5,Entomobryomorpha,F.Measure,0.983989401968206
6,Entomobryomorpha,Precision,0.934090119309626
6,Entomobryomorpha,Recall,0.906678659770632
6,Entomobryomorpha,F.Measure,0.920180293261824
7,Entomobryomorpha,Precision,0.894349968213605
7,Entomobryomorpha,Recall,0.843602428603553
7,Entomobryomorpha,F.Measure,0.868235294117647
2,Decapoda,Precision,1
2,Decapoda,Recall,1
2,Decapoda,F.Measure,1
3,Decapoda,Precision,0.977910579902612
3,Decapoda,Recall,0.96437770113939
3,Decapoda,F.Measure,0.971096995406291
4,Decapoda,Precision,0.977635075287865
4,Decapoda,Recall,0.963679224691142
4,Decapoda,F.Measure,0.970606986611559
5,Decapoda,Precision,0.962462195338908
5,Decapoda,Recall,0.94468939625442
5,Decapoda,F.Measure,0.9534929831905
6,Decapoda,Precision,0.943717512098943
6,Decapoda,Recall,0.919369625005457
6,Decapoda,F.Measure,0.93138447250293
7,Decapoda,Precision,0.873384657684905
7,Decapoda,Recall,0.832016414196534
7,Decapoda,F.Measure,0.852198797200921
2,Trombidiformes,Precision,1
2,Trombidiformes,Recall,1
2,Trombidiformes,F.Measure,1
3,Trombidiformes,Precision,0.994655213552851
3,Trombidiformes,Recall,0.983299523517479
3,Trombidiformes,F.Measure,0.988944771303853
4,Trombidiformes,Precision,0.99253088193048
4,Trombidiformes,Recall,0.977968580459499
4,Trombidiformes,F.Measure,0.985195922343939
5,Trombidiformes,Precision,0.974937222329535
5,Trombidiformes,Recall,0.95244610086333
5,Trombidiformes,F.Measure,0.963560434315714
6,Trombidiformes,Precision,0.961219107160301
6,Trombidiformes,Recall,0.928433268858801
6,Trombidiformes,F.Measure,0.944541767656164
7,Trombidiformes,Precision,0.933414634146342
7,Trombidiformes,Recall,0.902722083313676
7,Trombidiformes,F.Measure,0.917811832985587
2,Sarcoptiformes,Precision,1
2,Sarcoptiformes,Recall,1
2,Sarcoptiformes,F.Measure,1
3,Sarcoptiformes,Precision,0.993402450518379
3,Sarcoptiformes,Recall,0.984280155642023
3,Sarcoptiformes,F.Measure,0.9888202642483
4,Sarcoptiformes,Precision,0.986948055365507
4,Sarcoptiformes,Recall,0.972918287937743
4,Sarcoptiformes,F.Measure,0.979882955376737
5,Sarcoptiformes,Precision,0.965463862495997
5,Sarcoptiformes,Recall,0.938365758754864
5,Sarcoptiformes,F.Measure,0.951721960588282
6,Sarcoptiformes,Precision,0.943650623119897
6,Sarcoptiformes,Recall,0.911387808041505
6,Sarcoptiformes,F.Measure,0.927238658256578
7,Sarcoptiformes,Precision,0.92338884083045
7,Sarcoptiformes,Recall,0.886070038910506
7,Sarcoptiformes,F.Measure,0.904344603002303
2,Trichoptera,Precision,1
2,Trichoptera,Recall,1
2,Trichoptera,F.Measure,1
3,Trichoptera,Precision,0.999844997287453
3,Trichoptera,Recall,0.998838649736761
3,Trichoptera,F.Measure,0.999341570161509
4,Trichoptera,Precision,0.96795814941965
4,Trichoptera,Recall,0.916847321152059
4,Trichoptera,F.Measure,0.941709741550696
5,Trichoptera,Precision,0.961198428290766
5,Trichoptera,Recall,0.909104986063797
5,Trichoptera,F.Measure,0.934426229508197
6,Trichoptera,Precision,0.948440851344663
6,Trichoptera,Recall,0.890136265097553
6,Trichoptera,F.Measure,0.918364086588386
7,Trichoptera,Precision,0.830279986173522
7,Trichoptera,Recall,0.743883555280273
7,Trichoptera,F.Measure,0.784710878797779
2,Amphipoda,Precision,1
2,Amphipoda,Recall,1
2,Amphipoda,F.Measure,1
3,Amphipoda,Precision,0.982736470210374
3,Amphipoda,Recall,0.960524250510124
3,Amphipoda,F.Measure,0.971503413240197
4,Amphipoda,Precision,0.982654781980246
4,Amphipoda,Recall,0.960367289279548
4,Amphipoda,F.Measure,0.971383210954554
5,Amphipoda,Precision,0.957298262704985
5,Amphipoda,Recall,0.925443415476377
5,Amphipoda,F.Measure,0.941101356743815
6,Amphipoda,Precision,0.931944444444444
6,Amphipoda,Recall,0.895228378590488
6,Amphipoda,F.Measure,0.91321751661196
7,Amphipoda,Precision,0.849597877456264
7,Amphipoda,Recall,0.80419086485638
7,Amphipoda,F.Measure,0.826271015602951
2,Ephemeroptera,Precision,1
2,Ephemeroptera,Recall,1
2,Ephemeroptera,F.Measure,1
3,Ephemeroptera,Precision,0.999912357581069
3,Ephemeroptera,Recall,0.999299290531663
3,Ephemeroptera,F.Measure,0.999605730056512
4,Ephemeroptera,Precision,0.994109772423025
4,Ephemeroptera,Recall,0.9756503459753
4,Ephemeroptera,F.Measure,0.984793563787464
5,Ephemeroptera,Precision,0.990960350845789
5,Ephemeroptera,Recall,0.96978190417798
5,Ephemeroptera,F.Measure,0.980256750774679
6,Ephemeroptera,Precision,0.972435607772255
6,Ephemeroptera,Recall,0.942454234912849
6,Ephemeroptera,F.Measure,0.957210212614536
7,Ephemeroptera,Precision,0.851654514862591
7,Ephemeroptera,Recall,0.798020495751949
7,Ephemeroptera,F.Measure,0.823965634184942
2,Mesostigmata,Precision,1
2,Mesostigmata,Recall,1
2,Mesostigmata,F.Measure,1
3,Mesostigmata,Precision,0.997429550647372
3,Mesostigmata,Recall,0.987092519314113
3,Mesostigmata,F.Measure,0.99223411307889
4,Mesostigmata,Precision,0.9972359893252
4,Mesostigmata,Recall,0.985773506689278
4,Mesostigmata,F.Measure,0.991471619444708
5,Mesostigmata,Precision,0.979662986635677
5,Mesostigmata,Recall,0.953080836630865
5,Mesostigmata,F.Measure,0.966189111747851
6,Mesostigmata,Precision,0.962492674350459
6,Mesostigmata,Recall,0.92839645750895
6,Mesostigmata,F.Measure,0.945137157107232
7,Mesostigmata,Precision,0.953490639625585
7,Mesostigmata,Recall,0.921330318447334
7,Mesostigmata,F.Measure,0.93713464302827
2,Psocodea,Precision,1
2,Psocodea,Recall,1
2,Psocodea,F.Measure,1
3,Psocodea,Precision,0.999333333333333
3,Psocodea,Recall,0.996202411468717
3,Psocodea,F.Measure,0.997765416250654
4,Psocodea,Precision,0.992269784520244
4,Psocodea,Recall,0.974935915693535
4,Psocodea,F.Measure,0.983526482137726
5,Psocodea,Precision,0.988073305536701
5,Psocodea,Recall,0.967435678344251
5,Psocodea,F.Measure,0.97764559148038
6,Psocodea,Precision,0.98454960645224
6,Psocodea,Recall,0.961929174973892
6,Psocodea,F.Measure,0.973107952362659
7,Psocodea,Precision,0.969619756958056
7,Psocodea,Recall,0.93933352321276
7,Psocodea,F.Measure,0.954236389063027
2,Orthoptera,Precision,1
2,Orthoptera,Recall,1
2,Orthoptera,F.Measure,1
3,Orthoptera,Precision,0.999895430304298
3,Orthoptera,Recall,0.999790882475951
3,Orthoptera,F.Measure,0.999843153657134
4,Orthoptera,Precision,0.990768251273345
4,Orthoptera,Recall,0.976265161020494
4,Orthoptera,F.Measure,0.983463239941015
5,Orthoptera,Precision,0.988519187838843
5,Orthoptera,Recall,0.972291928063572
5,Orthoptera,F.Measure,0.98033841125929
6,Orthoptera,Precision,0.954318033500109
6,Orthoptera,Recall,0.917398578000836
6,Orthoptera,F.Measure,0.935494189145964
7,Orthoptera,Precision,0.834948015122873
7,Orthoptera,Recall,0.738916771225429
7,Orthoptera,F.Measure,0.784002662524961
